+1 1:1.3622603 2:-3.4459724 3:7.2702117 
+1 1:1.5197436 2:1.4524741 3:1.2223558 
+1 1:0.019484103 2:0.24496794 3:0.23869038 
+1 1:-1.1531352 2:-2.0606961 3:-4.227558 
+1 1:0.06292963 2:-1.4404402 3:1.6923819 
+1 1:14.851158 2:-0.11485052 3:-3.0529122 
+1 1:6.654947 2:-11.266758 3:-2.2592845 
+1 1:-7.316866 2:-10.645546 3:1.7658765 
+1 1:-9.862808 2:-2.4224129 3:0.08780575 
+1 1:-1.3606955 2:-2.641817 3:-2.1755285 
+1 1:-4.572598 2:-2.2949247 3:-3.0402682 
+1 1:-5.666734 2:3.6771593 3:-7.122682 
+1 1:0.6135386 2:1.847619 3:4.2286296 
+1 1:0.025529861 2:10.374674 3:-6.637358 
+1 1:-0.60827136 2:2.1867537 3:-2.4651444 
+1 1:-1.2495925 2:-4.426265 3:-0.2664451 
+1 1:2.4253402 2:-2.494071 3:-1.4505968 
+1 1:1.134223 2:0.6496811 3:2.8808613 
+1 1:2.3814185 2:4.2140603 3:-1.4975322 
+1 1:-0.0111916065 2:4.969297 3:-4.663848 
+1 1:-2.3038266 2:8.142979 3:4.0153446 
+1 1:-4.4099874 2:8.485318 3:-4.648486 
+1 1:2.4053018 2:3.1528058 3:-0.05150286 
+1 1:4.1089516 2:-3.6879187 3:5.9177265 
+1 1:0.69131327 2:-0.5884867 3:-2.2701979 
+1 1:-5.538496 2:6.662875 3:2.5676394 
+1 1:-6.2015557 2:-1.9151707 3:1.4179059 
+1 1:1.1091391 2:-0.5823517 3:-5.7622375 
+1 1:2.614516 2:0.71506786 3:-1.5703944 
+1 1:-1.0954435 2:1.329464 3:-5.2137856 
+1 1:8.145847 2:-1.373579 3:-0.17209828 
+1 1:0.09993935 2:-2.3151932 3:-1.9417471 
+1 1:2.6872149 2:10.114756 3:-7.639585 
+1 1:3.3397703 2:-3.0797787 3:5.085594 
+1 1:-5.3865595 2:4.16439 3:-3.8872247 
+1 1:5.8891177 2:-6.6087112 3:-0.092791274 
+1 1:2.8572125 2:1.449542 3:-4.3891125 
+1 1:-1.4786313 2:-0.20467186 3:-6.9610224 
+1 1:7.0169287 2:-11.790173 3:8.103276 
+1 1:4.9006634 2:-7.151334 3:-1.7854712 
+1 1:-0.33818913 2:-1.2408266 3:-3.5775273 
+1 1:-0.25582218 2:-0.5745716 3:-0.47696117 
+1 1:0.68694055 2:1.8816385 3:-6.926237 
+1 1:1.5647812 2:4.33451 3:-4.5565963 
+1 1:3.3509765 2:-9.516641 3:7.351813 
+1 1:-4.0252857 2:7.0735393 3:-2.7552893 
+1 1:7.2169876 2:-6.7223988 3:-0.98891664 
+1 1:4.342011 2:3.9809198 3:-3.3845212 
+1 1:-8.416978 2:-8.046354 3:-4.024742 
+1 1:6.786072 2:-7.150859 3:-2.6940513 
+1 1:-0.880702 2:8.107338 3:-6.4396954 
+1 1:6.1683693 2:-7.3976 3:2.0607443 
+1 1:-2.030344 2:9.225407 3:-6.464797 
+1 1:1.9409883 2:4.450119 3:-2.2728221 
+1 1:-6.271865 2:-4.8513107 3:3.5788302 
+1 1:-8.314279 2:-8.268919 3:-2.159634 
+1 1:2.9301589 2:0.911211 3:-6.4151325 
+1 1:-8.668742 2:-6.734066 3:0.2201193 
+1 1:0.72273135 2:-7.108862 3:9.994026 
+1 1:1.7118328 2:-2.3242025 3:-1.1260711 
+1 1:1.449652 2:0.2035656 3:3.355837 
+1 1:7.2936516 2:3.6250887 3:2.3290858 
+1 1:-0.98306775 2:-1.977191 3:-5.7866883 
+1 1:7.2316575 2:-7.1246386 3:3.2494173 
+1 1:1.2767981 2:-1.729435 3:0.04978484 
+1 1:3.3961678 2:0.2569456 3:8.523326 
+1 1:3.284193 2:2.3886342 3:-0.73013365 
+1 1:6.947979 2:-7.8548 3:-2.099601 
+1 1:0.6901605 2:-1.7140913 3:-0.2902102 
+1 1:-5.4319534 2:-3.9783669 3:-4.4834843 
+1 1:5.8741493 2:-3.1352968 3:5.7455187 
+1 1:-1.6636286 2:-1.1135035 3:-0.15502192 
+1 1:3.9744344 2:4.158583 3:-4.178344 
+1 1:2.0529194 2:2.6186657 3:-7.5045676 
+1 1:6.2053995 2:-6.2441444 3:2.9213703 
+1 1:1.4847612 2:-2.0678024 3:-0.9361887 
