-1 1:-0.27762222 2:0.8319521 3:-0.4741559 4:0.29315603 5:0.7670688 6:0.10860765 
-1 1:1.4265679 2:0.44255447 3:0.2689786 4:1.5978769 5:0.30213693 6:0.68139374 
-1 1:0.07791448 2:0.31295013 3:-0.070486546 4:0.19937879 5:0.13802607 6:0.27354285 
-1 1:0.28872085 2:0.066827774 3:-0.06164837 4:0.32814813 5:-0.08647703 6:0.22590482 
-1 1:0.16340268 2:-0.021846771 3:0.07664633 4:0.16226397 5:-0.14012125 6:0.2913596 
-1 1:-0.03350401 2:0.064520836 3:-0.10857248 4:-0.027714167 5:-0.043002926 6:0.08491264 
-1 1:-0.060331225 2:0.086551666 3:-0.21367502 4:-0.043633107 5:-0.01677768 6:-0.016151905 
-1 1:-0.032897472 2:4.4822693E-4 3:-0.19779778 4:-0.012959484 5:-0.082304895 6:-2.1971762E-4 
-1 1:0.1320287 2:-0.07601547 3:0.27637768 4:0.12157335 5:-0.12701488 6:0.37916458 
-1 1:-0.951282 2:-0.15396023 3:0.2009182 4:-0.7693899 5:-0.16396771 6:0.24296409 
-1 1:-0.9869062 2:0.030472755 3:-0.4679811 4:-0.64401126 5:0.01637222 6:-0.3407482 
-1 1:-1.2572746 2:-0.17935753 3:-0.34694743 4:-0.7315038 5:-0.15476646 6:-0.17577161 
+1 1:-0.02202797 2:-0.60229206 3:0.20592308 4:0.4029943 5:-0.4621608 6:0.30167913 
+1 1:0.70584595 2:-1.212997 3:-1.7533085 4:0.9046946 5:-0.8582926 6:-1.3260419 
+1 1:1.0863467 2:-0.3825178 3:0.95522356 4:1.0281563 5:-0.022250772 6:1.1059921 
+1 1:-0.13900304 2:0.26107597 3:-0.8513427 4:-0.15775476 5:0.49707443 6:-0.5604593 
+1 1:0.53645325 2:-1.9895368 3:-0.62998104 4:0.41416124 5:-1.4028306 6:-0.27127814 
+1 1:-0.8534845 2:3.108839 3:2.0876346 4:-0.78062123 5:2.9564362 6:1.95707 
+1 1:-0.97556496 2:-1.1000447 3:-3.6785698 4:-0.72216135 5:-1.0019581 6:-3.0473075 
+1 1:1.688456 2:0.7799139 3:1.5610614 4:1.5534878 5:0.70240045 6:1.7538589 
+1 1:0.63892007 2:-0.5898776 3:-0.4119873 4:0.40316144 5:-0.5339129 6:-0.1753518 
+1 1:0.8395318 2:-1.0550637 3:0.96727085 4:0.48301852 5:-0.7992792 6:0.9631251 
+1 1:0.62652254 2:2.3473701 3:1.1453137 4:0.21600741 5:2.0825238 6:0.9129344 
+1 1:-0.57693475 2:-1.6273026 3:-2.1694777 4:-0.7899599 5:-1.5137192 6:-1.9214857 
+1 1:0.7019424 2:1.3592939 3:0.42569685 4:0.39113376 5:1.1783019 6:0.53895116 
+1 1:-0.54875356 2:-0.9009199 3:-2.5039847 4:-0.6876497 5:-0.86552954 6:-1.9125843 
+1 1:-0.53196937 2:1.7006016 3:0.5799475 4:-0.53669244 5:1.3887936 6:0.93707824 
+1 1:-0.56252915 2:0.25880194 3:1.2130718 4:-0.4538018 5:-0.04240486 6:1.2561622 
+1 1:-0.25338018 2:-0.14875412 3:-2.07515 4:-0.11572227 5:-0.35996872 6:-1.6256478 
+1 1:0.034729302 2:-2.264552 3:2.6655178 4:0.13790977 5:-1.9806135 6:2.492016 
+1 1:-0.6372881 2:-0.4210148 3:0.78509045 4:-0.42728612 5:-0.109660864 6:0.48927096 
+1 1:-1.6787038 2:-0.2215476 3:-2.1246948 4:-1.1749614 5:0.071845055 6:-1.9364115 
+1 1:0.57038313 2:-0.37345743 3:1.5380888 4:0.8593004 5:-0.06405181 6:1.3810978 
+1 1:-0.385505 2:-0.5846658 3:1.9475875 4:-0.07727018 5:-0.22020814 6:1.4324771 
+1 1:-0.39281905 2:-0.038900852 3:-4.244813 4:-0.067667395 5:0.26044542 6:-3.8079388 
+1 1:1.9201576 2:0.5149102 3:1.7414012 4:1.7962474 5:0.6514052 6:1.7426203 
+1 1:0.31600922 2:-0.3554163 3:1.9176593 4:0.15367925 5:-0.17513704 6:1.5351028 
